city,scenario,mean_Rt,delta_mean_Rt,mean_reduction_percent,days_Rt_gt_1,days_reduction_percent,excess_area
Seoul,Observed,1.023,0.000,0.0,687,0.0,159.77
Seoul,10% reduction,0.921,0.102,10.0,455,33.8,86.90
Seoul,20% reduction,0.818,0.205,20.0,219,68.1,41.66
Seoul,30% reduction,0.716,0.307,30.0,125,81.8,15.70
Seoul,40% reduction,0.614,0.409,40.0,25,96.4,4.28
Seoul,50% reduction,0.511,0.511,50.0,9,98.7,1.00
Busan,Observed,1.016,0.000,0.0,725,0.0,160.37
Busan,10% reduction,0.914,0.101,10.0,424,41.5,86.67
Busan,20% reduction,0.813,0.203,20.0,246,66.1,40.09
Busan,30% reduction,0.711,0.304,30.0,121,83.3,13.55
Busan,40% reduction,0.609,0.406,40.0,25,96.5,1.65
Busan,50% reduction,0.508,0.508,50.0,0,100.0,0.00
Daegu,Observed,1.015,0.000,0.0,682,0.0,166.13
Daegu,10% reduction,0.914,0.101,10.0,468,31.3,91.87
Daegu,20% reduction,0.812,0.203,20.0,259,62.0,41.79
Daegu,30% reduction,0.711,0.304,30.0,100,85.3,15.95
Daegu,40% reduction,0.609,0.406,40.0,38,94.4,3.51
Daegu,50% reduction,0.507,0.507,50.0,4,99.4,0.04
Daejeon,Observed,1.014,0.000,0.0,673,0.0,163.34
Daejeon,10% reduction,0.912,0.101,10.0,457,32.9,90.76
Daejeon,20% reduction,0.811,0.202,20.0,276,58.9,40.56
Daejeon,30% reduction,0.709,0.304,30.0,117,82.6,11.71
Daejeon,40% reduction,0.608,0.405,40.0,14,97.9,2.38
Daejeon,50% reduction,0.507,0.507,50.0,5,99.2,0.42
Gwangju,Observed,1.017,0.000,0.0,685,0.0,154.08
Gwangju,10% reduction,0.916,0.101,10.0,422,38.3,84.10
Gwangju,20% reduction,0.814,0.203,20.0,240,64.9,39.36
Gwangju,30% reduction,0.712,0.305,30.0,105,84.6,13.98
Gwangju,40% reduction,0.610,0.407,40.0,31,95.4,3.51
Gwangju,50% reduction,0.508,0.508,50.0,4,99.4,0.04
